season,startTime,endTime,boss1,boss2,boss3,difficulty1,difficulty2,difficulty3,prediction
1,2024-02-20 11:00:00,2024-02-27 03:59:59,Perorozilla_Outdoor_LightArmor,Perorozilla_Outdoor_HeavyArmor,Perorozilla_Outdoor_Unarmed,Insane,Insane,Torment
2,2024-03-19 11:00:00,2024-03-26 03:59:59,ShiroKuro_Indoor_LightArmor,ShiroKuro_Indoor_HeavyArmor,ShiroKuro_Indoor_Unarmed,Insane,Torment,Insane
3,2024-04-23 11:00:00,2024-04-30 03:59:59,Kaitenger_Outdoor_LightArmor,Kaitenger_Outdoor_HeavyArmor,Kaitenger_Outdoor_Unarmed,Insane,Insane,Torment
4,2024-05-21 11:00:00,2024-05-28 03:59:59,HOD_Street_LightArmor,HOD_Street_HeavyArmor,HOD_Street_Unarmed,Insane,Torment,Insane
5,2024-06-18 11:00:00,2024-06-25 03:59:59,Goz_Outdoor_LightArmor,Goz_Outdoor_HeavyArmor,Goz_Outdoor_Unarmed,Insane,Torment,Insane
6,2024-07-16 11:00:00,2024-07-23 03:59:59,ShiroKuro_Street_LightArmor,ShiroKuro_Street_HeavyArmor,ShiroKuro_Street_Unarmed,Torment,Insane,Insane
7,2024-08-13 11:00:00,2024-08-20 03:59:59,Kaitenger_Outdoor_LightArmor,Kaitenger_Outdoor_HeavyArmor,Kaitenger_Outdoor_Unarmed,Torment,Insane,Insane
8,2024-09-10 11:00:00,2024-09-17 03:59:59,Binah_Street_LightArmor,Binah_Street_HeavyArmor,Binah_Street_Unarmed,Insane,Insane,Torment
9,2024-10-15 11:00:00,2024-10-22 03:59:59,EN0005_Indoor_LightArmor,EN0005_Indoor_HeavyArmor,EN0005_Indoor_Unarmed,Insane,Torment,Insane
10,2024-11-12 11:00:00,2024-11-19 03:59:59,Hieronymus_Street_LightArmor,Hieronymus_Street_HeavyArmor,Hieronymus_Street_Unarmed,Insane,Insane,Torment
11,2024-12-10 11:00:00,2024-12-17 03:59:59,HoverCraft_Outdoor_LightArmor,HoverCraft_Outdoor_HeavyArmor,HoverCraft_Outdoor_Unarmed,Torment,Insane,Insane
12,2025-01-14 11:00:00,2025-01-21 03:59:59,ShiroKuro_Indoor_LightArmor,ShiroKuro_Indoor_HeavyArmor,ShiroKuro_Indoor_ElasticArmor,Insane,Torment,Insane
13,2025-02-11 11:00:00,2025-02-18 03:59:59,Goz_Outdoor_LightArmor,Goz_Outdoor_HeavyArmor,Goz_Outdoor_Unarmed,Insane,Torment,Insane
14,2025-03-11 11:00:00,2025-03-18 03:59:59,Perorozilla_Outdoor_ElasticArmor,Perorozilla_Outdoor_HeavyArmor,Perorozilla_Outdoor_Unarmed,Torment,Insane,Insane
15,2025-04-08 11:00:00,2025-04-15 03:59:59,EN0006_Street_LightArmor,EN0006_Street_ElasticArmor,EN0006_Street_Unarmed,Insane,Insane,Torment
16,2025-05-06 11:00:00,2025-05-13 03:59:59,Chesed_Outdoor_ElasticArmor,Chesed_Outdoor_HeavyArmor,Chesed_Outdoor_Unarmed,Insane,Insane,Torment
17,2025-06-03 11:00:00,2025-06-10 03:59:59,Binah_Street_ElasticArmor,Binah_Street_HeavyArmor,Binah_Street_Unarmed,Insane,Torment,Insane
18,2025-07-01 11:00:00,2025-07-08 03:59:59,Kaitenger_Street_LightArmor,Kaitenger_Street_HeavyArmor,Kaitenger_Street_Unarmed,Torment,Insane,Insane
19,2025-07-29 11:00:00,2025-08-05 03:59:59,EN0005_Indoor_LightArmor,EN0005_Indoor_HeavyArmor,EN0005_Indoor_Unarmed,Insane,Insane,Torment
20,2025-08-19 11:00:00,2025-08-26 03:59:59,Binah_Outdoor_LightArmor,Binah_Outdoor_ElasticArmor,Binah_Outdoor_Unarmed,Torment,Insane,Insane
21,2025-09-16 11:00:00,2025-09-23 03:59:59,Chesed_Indoor_ElasticArmor,Chesed_Indoor_HeavyArmor,Chesed_Indoor_LightArmor,Torment,Insane,Insane
22,2025-10-14 11:00:00,2025-10-21 03:59:59,ShiroKuro_Indoor_HeavyArmor,ShiroKuro_Indoor_ElasticArmor,ShiroKuro_Indoor_Unarmed,Insane,Torment,Insane
23,2025-11-11 11:00:00,2025-11-18 03:59:59,Hieronymus_Street_LightArmor,Hieronymus_Street_HeavyArmor,Hieronymus_Street_ElasticArmor,Insane,Torment,Insane
24,2025-12-09 11:00:00,2025-12-16 03:59:59,Kaitenger_Outdoor_LightArmor,Kaitenger_Outdoor_Unarmed,Kaitenger_Outdoor_ElasticArmor,Insane,Torment,Insane
25,2026-01-06 11:00:00,2026-01-13 03:59:59,Binah_Street_LightArmor,Binah_Street_Unarmed,Binah_Street_ElasticArmor,Insane,Insane,Torment,true
26,2026-02-03 11:00:00,2026-02-10 03:59:59,Chesed_Outdoor_LightArmor,Chesed_Outdoor_ElasticArmor,Chesed_Outdoor_HeavyArmor,Insane,Torment,Insane,true
27,2026-03-10 11:00:00,2026-03-17 03:59:59,ShiroKuro_Indoor_LightArmor,ShiroKuro_Indoor_ElasticArmor,ShiroKuro_Indoor_Unarmed,Torment,Torment,Insane,true
28,2026-04-07 11:00:00,2026-04-14 03:59:59,Hieronymus_Street_LightArmor,Chesed_Outdoor_Unarmed,Hieronymus_Street_ElasticArmor,Torment,Torment,Insane,true
29,2026-05-05 11:00:00,2026-05-12 03:59:59,Kaitenger_Street_Unarmed,Kaitenger_Street_LightArmor,Kaitenger_Street_HeavyArmor,Insane,Torment,Torment,true
30,2026-06-09 11:00:00,2026-06-15 03:59:59,ShiroKuro_Street_HeavyArmor,ShiroKuro_Street_Unarmed,ShiroKuro_Street_ElasticArmor,Insane,Torment,Torment,true
