startTime,titleEn,titleKo,titleJa,prediction
2025-12-09 11:00:00,The Missing Shrimp's Mystery (Permanent),사라진 새우의 수수깨끼 상시화,消えたエビの謎 常設化
2025-12-16 04:00:00,100 Free Recruits,무료모집 100회,無料100回募集
2025-12-16 04:00:00,Sanon's Battle Pass,사논의 배틀패스,サノンのバトルパス
2025-12-30 04:00:00,Area 29 Open / T10 Gear Added,29지역 개방 10T추가,エリア29開放 T10装備追加,true
2026-02-17 11:00:00,Wild Hunt Schedule Added,와일드헌트 스케줄 추가,「ワイルドハント」スケジュール追加,true
2026-03-17 11:00:00,4★ Bond Rank Cap 30,4성 인연랭 상한 30,★4絆ランク上限30,true
2026-03-31 11:00:00,Tactical Challenge Reset,전술대항전 초기화,戦術対抗戦リセット,true
2026-04-01 04:00:00,Wakamo (Swimsuit) Eleph Farming,와카모(수엉복) 조각작,ワカモ(水着)の神名文字,true
2026-04-07 11:00:00,Hidden Legacy (Permanent),숨겨진유산 상시화,隠されし遺産を求めて 常設化,true
2026-05-12 11:00:00,Academy Club Story (Permanent),학원동인이야기 상시화,学漫同人物語　常設化,true
2026-05-26 11:00:00,Recollect Recruitment ,리콜렉트 모집,リコレクト募集,true
2026-06-02 11:00:00,Area 30 Open,30지역 개방,エリア30開放,true
